,Unnamed: 0,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO,latitudes,longitudes,calle
13,14,Madrid-Capital,28079621,EEI,ANTONIO MERCERO,"Avenida De Valladolid, 49b ",Madrid,Moncloa-Aravaca,28008,-,-,-,-,Público,Primaria,40.4295296,-3.7316097,"Avenida De Valladolid, 49b "
14,15,Madrid-Capital,28062643,EEI,ARCE,"Calle Del Alcalde Garrido Juaristi, 6 ",Madrid,Moratalaz,28030,913285820,913285820,eei.arce.madrid@educa.madrid.org,-,Público,Primaria,40.4140818,-3.6565017,"Calle Del Alcalde Garrido Juaristi, 6 "
15,16,Madrid-Capital,28043454,EEI,ARCO IRIS,"Calle De Diego Olivera Victorio, 10 ",Madrid,Villa de Vallecas,28031,913311422,913311422,eei.arcoiris.madrid@educa.madrid.org,-,Público,Primaria,40.3833738,-3.6135092,"Calle De Diego Olivera Victorio, 10 "
16,17,Madrid-Este,28049055,EEI,ARCO IRIS,"Calle Valverde De Alcala, 1 ",Alcalá de Henares,-,28806,918811481,918811481,eei.arcoiris.alcala@educa.madrid.org,directora@escuelaarcoiris.com,Público,Primaria,40.4911407,-3.3670962,"Calle Valverde De Alcala, 1 "
17,18,Madrid-Sur,28080499,EEI,ARCOIRIS,"Avenida Niceto Alcalá Zamora, S/n ",Getafe,-,28904,916834716,-,eei.arcoiris.getafe@educa.madrid.org,-,Público,Primaria,40.4950543,-3.6504833,Avenida Niceto Alcalá Zamora  
18,19,Madrid-Sur,28065292,EEI,ARTE,"Calle Mezquita, 36 ",Getafe,-,28903,916843528,-,eei.arte.getafe@educa.madrid.org,-,Público,Primaria,40.3175104,-3.7126925,"Calle Mezquita, 36 "
19,20,Madrid-Oeste,28068037,EEI,ASERRIN ASERRAN,"Calle Castillo De Atienza, 4 ","Rozas de Madrid, Las",-,28232,916365929,916365929,eei.aserrinaserran.lasrozas@educa.madrid.org,-,Público,Primaria,40.508042,-3.8930869,"Calle Castillo De Atienza, 4 "
20,21,Madrid-Capital,28043740,EEI,BÄRBEL INHELDER,"Carretera De Colmenar, K15 ",Madrid,Fuencarral-El Pardo,28049,914972303,914972301,eei.barbelinhelder.madrid@educa.madrid.org,escuela.infantil@uam.es,Público,Primaria,40.5285347,-3.6913636,"Carretera De Colmenar, K15 "
21,22,Madrid-Sur,28049067,EEI,BARCO DE PAPEL,"Avenida De Los Cinco Siglos, 1 ",Navalcarnero,-,28600,918113003,918113657,eei.barcodepapel.navalcarnero@educa.madrid.org,-,Público,Primaria,40.2812254,-4.0148267,"Avenida De Los Cinco Siglos, 1 "
22,23,Madrid-Sur,28043922,EEI,CALEIDOSCOPIO,"Avenida De Carlos V, 3 ",Móstoles,-,28936,916454995,916454995,eei.caleidoscopio.mostoles@educa.madrid.org,caleidoscopio@educainfantilmostoles.org,Público,Primaria,40.32362,-3.8497656,"Avenida De Carlos V, 3 "
23,24,Madrid-Oeste,28072429,EEI,CALIMERO,"Calle Amapolas, S/n ",Collado Villalba,-,28400,674334740,-,eei.calimero.colladovillalba@educa.madrid.org,calimero@kidsco.es,Público,Primaria,40.6391345,-4.0092542,Calle Amapolas  
24,25,Madrid-Sur,28068219,EEI,CAMPANILLA,"Calle Miguel De Cervantes, 106 ",Arroyomolinos,-,28939,916096167,916119054,eei.campanilla.arroyomolinos@educa.madrid.org,-,Público,Primaria,40.2641563,-3.9170755,"Calle Miguel De Cervantes, 106 "
25,26,Madrid-Sur,28070202,EEI,CAMPANILLA,"Calle De Copenhague, 55 ",Alcorcón,-,28922,605865768,-,eei.campanilla.alcorcon@educa.madrid.org,campanilla.alcorcon@gmail.com,Público,Primaria,40.3410242,-3.8461585,"Calle De Copenhague, 55 "
26,27,Madrid-Capital,28068301,EEI,CAMPANILLA,"Calle De Ávila, 4 ",Madrid,Tetuán,28020,915707576,915707576,eei.campanilla.madrid@educa.madrid.org,lunas.7@hotmaiil.com,Público,Primaria,40.4526401,-3.701845399999999,"Calle De Ávila, 4 "
27,28,Madrid-Sur,28049195,EEI,CANCIONERO,"Calle Emilia Pardo Bazán, S/n ",Getafe,-,28903,916969593,916969593,eei.cancionero.getafe@educa.madrid.org,raquel.victorio@madrid.org,Público,Primaria,40.3248777,-3.7230313,Calle Emilia Pardo Bazán  
28,29,Madrid-Norte,28044252,EEI,CANTINELA,"Sector Descubridores, 18 ",Tres Cantos,-,28760,918033249,-,eei.cantinela.trescantos@educa.madrid.org,eicantinela@hotmail.com,Público,Primaria,40.6108761,-3.7164989,"Sector Descubridores, 18 "
29,30,Madrid-Sur,28068086,EEI,CARACOL COL COL,"Calle Tablas De Daimiel, S/n ",Ciempozuelos,-,28350,918086676,918930668,eei.caracolcolcol.ciempozuelos@educa.madrid.org,-,Público,Primaria,40.152862,-3.6303092,Calle Tablas De Daimiel  
30,31,Madrid-Norte,28058147,EEI,CARANTOÑAS,"Calle Dalia, 18 ",Cobeña,-,28863,916208527,916208527,eei.carantonas.cobena@educa.madrid.org,-,Público,Primaria,40.5696905,-3.5018553,"Calle Dalia, 18 "
31,32,Madrid-Capital,28043491,EEI,CARRICOCHE,"Calle De Moreja, 1 ",Madrid,Usera,28041,913170465,913698583,eei.carricoche.madrid@educa.madrid.org,eeicarricoche@telefonica.net,Público,Primaria,40.3704423,-3.6993326,"Calle De Moreja, 1 "
32,33,Madrid-Este,28044136,EEI,CARRUSEL,"Calle Violeta, 17 ",Alcalá de Henares,-,28803,918818387,918818387,eei.carrusel.alcala@educa.madrid.org,-,Público,Primaria,40.4755011,-3.3715262,"Calle Violeta, 17 "
33,34,Madrid-Sur,28044288,EEI,CASA DE LOS NIÑOS,"Avenida De Los Ángeles, 24 ",Getafe,-,28903,912027973,-,eei.casadelosninos.getafe@educa.madrid.org,-,Público,Primaria,40.3093144,-3.7202216,"Avenida De Los Ángeles, 24 "
34,35,Madrid-Norte,28064305,EEI,CASCABELES,"Calle Federico Moreno Torroba, S/n ",Alcobendas,-,28100,914904824,917080207,eei.cascabeles.alcobendas@educa.madrid.org,-,Público,Primaria,40.5495776,-3.6523419,Calle Federico Moreno Torroba  
35,36,Madrid-Sur,28046947,EEI,CASCANUECES,"Calle De Los Arquitectos, 35 ",Getafe,-,28903,916823802,916823802,eei.cascanueces.getafe@educa.madrid.org,-,Público,Primaria,40.3221419,-3.7259766,"Calle De Los Arquitectos, 35 "
36,37,Madrid-Sur,28064123,EEI,CASIOPEA,"Calle Toledo, 54 ",Getafe,-,28901,916950164,916950164,eei.casiopea.getafe@educa.madrid.org,-,Público,Primaria,40.2987001,-3.735725099999999,"Calle Toledo, 54 "
37,38,Madrid-Este,28044203,EEI,CHARLIE RIVEL,"Calle De Velázquez, S/n ",Coslada,-,28821,916738938,916738938,eei.charlierivel.coslada@educa.madrid.org,-,Público,Primaria,40.4336243,-3.6834338,Calle De Velázquez  
38,39,Madrid-Capital,28043508,EEI,CHAVALITOS,"Calle De Pradales, 8 ",Madrid,Latina,28047,914647850,914630659,eei.chavalitos.madrid@educa.madrid.org,-,Público,Primaria,40.4030326,-3.7484683,"Calle De Pradales, 8 "
39,40,Madrid-Capital,28070664,EEI,CIELO AZUL,"Bulevar De Indalecio Prieto, 16 ",Madrid,Vicálvaro,28032,917720849,-,eei.cieloazul.madrid@educa.madrid.org,cieloazul@educaula.org,Público,Primaria,40.4019062,-3.6212657,"Bulevar De Indalecio Prieto, 16 "
40,41,Madrid-Capital,28068050,EEI,CINCO LOBITOS,"Calle De Forsitia, 2 ",Madrid,Carabanchel,28054,914006684,914006684,eei.cincolobitos.madrid@educa.madrid.org,-,Público,Primaria,40.3650917,-3.7556107,"Calle De Forsitia, 2 "
41,42,Madrid-Sur,28043909,EEI,COLORES,"Calle Coronel De Palma, S/n ",Móstoles,-,28934,916180211,916180211,eei.colores.mostoles@educa.madrid.org,BLOG: escuelainfantilcoloresmostoles.blogspot.com.es,Público,Primaria,40.3185685,-3.8722254,Calle Coronel De Palma  
42,43,Madrid-Capital,28047587,EEI,COLORIN COLORADO,"Calle Del Conde De Torralba, 8 ",Madrid,Chamartín,28046,917331277,-,eei.colorincolorado.madrid@educa.madrid.org,-,Público,Primaria,40.4786135,-3.6845666,"Calle Del Conde De Torralba, 8 "
43,44,Madrid-Oeste,28058202,EEI,CUENTACUENTOS,"Calle Fuente Del Álamo, 10 ",Collado Villalba,-,28400,918510929,918510929,eei.cuentacuentos.colladovillalba@educa.madrid.org,-,Público,Primaria,40.6442457,-3.994261,"Calle Fuente Del Álamo, 10 "
44,45,Madrid-Este,28044215,EEI,DIAMELA,"Calle Colombia, S/n ",Coslada,-,28823,916735343,-,eei.diamela.coslada@educa.madrid.org,-,Público,Primaria,40.4271655,-3.5427664,Calle Colombia  
45,46,Madrid-Este,28067860,EEI,DON MELITON,"Calle Arturo Soria, 5 ",Alcalá de Henares,-,28806,918786757,-,eei.donmeliton.alcala@educa.madrid.org,-,Público,Primaria,40.4827701,-3.38925,"Calle Arturo Soria, 5 "
46,47,Madrid-Oeste,28072338,EEI,DON PIMPON,"Calle De Murillo, 1 ",Galapagar,-,28420,918585012,-,eei.donpimpon.galapagar@educa.madrid.org,-,Público,Primaria,40.59589769999999,-3.984574099999999,"Calle De Murillo, 1 "
47,48,Madrid-Capital,28072028,EEI,DOÑA FRANCISQUITA,"Calle De Cambados, 1 ",Madrid,Hortaleza,28050,917642004,917642004,eei.donafrancisquita.madrid@educa.madrid.org,-,Público,Primaria,40.4787812,-3.630243699999999,"Calle De Cambados, 1 "
48,49,Madrid-Sur,28061687,EEI,DULCINEA,"Calle Moraña, 27 ",Leganés,-,28915,916808230,-,eei.dulcinea.leganes@educa.madrid.org,direccion.eidulcinea@grupo5.net,Público,Primaria,40.3314645,-3.7542048,"Calle Moraña, 27 "
49,50,Madrid-Capital,28047472,EEI,EL ALBA,"Calle De Toledo, 181 ",Madrid,Arganzuela,28005,915173351,915173351,eei.elalba.madrid@educa.madrid.org,elalbaescuela@gmail.com,Público,Primaria,40.4015289,-3.7136441,"Calle De Toledo, 181 "
50,51,Madrid-Norte,28068232,EEI,EL ALMENDRO,"Calle De Juan Gris, 3 ",Colmenar Viejo,-,28770,918473480,-,eei.elalmendro.colmenarviejo@educa.madrid.org,eei.elalmendro@gmail.com,Público,Primaria,40.6728043,-3.774383899999999,"Calle De Juan Gris, 3 "
51,52,Madrid-Este,28070263,EEI,EL ARLEQUIN,"Avenida De José Hierro, 88 ",Rivas-Vaciamadrid,-,28521,914991589,916442764,eei.elarlequin.rivas@educa.madrid.org,eei.elarquelin@gmail.com,Público,Primaria,40.344938,-3.5266471,"Avenida De José Hierro, 88 "
52,53,Madrid-Capital,28072065,EEI,EL BARBERILLO DE LAVAPIES,"Calle Del Granito, 32 C/v Plomo, 16 ",Madrid,Arganzuela,28045,915397437,915397437,eei.elbarberillodelavapies.madrid@educa.madrid.org,-,Público,Primaria,40.3936904,-3.6900977,"Calle Del Granito, 32 C/v Plomo, 16 "
53,54,Madrid-Capital,28071851,EEI,EL BATEO,"Calle De Pinos De Osuna, 3 ",Madrid,Barajas,28042,917414436,-,eei.elbateo.madrid@educa.madrid.org,eielbateo@madrid.es,Público,Primaria,40.4509816,-3.592541,"Calle De Pinos De Osuna, 3 "
54,55,Madrid-Capital,28043466,EEI,EL BELEN,"Calle De Braille, 23 ",Madrid,Fuencarral-El Pardo,28034,917341043,917341043,eei.elbelen.madrid@educa.madrid.org,-,Público,Primaria,40.4953564,-3.6971525,"Calle De Braille, 23 "
55,56,Madrid-Sur,28070937,EEI,EL BONSAI,"Calle De Ernest Lluch, S/n ",Fuenlabrada,-,28942,914985345,914985345,eei.elbonsai.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.2903088,-3.8188097,Calle De Ernest Lluch  
56,57,Madrid-Capital,28063076,EEI,EL BOSQUE,"Calle De Delicias, 32 ",Madrid,Arganzuela,28045,915271590,915271590,eei.elbosque.madrid@educa.madrid.org,-,Público,Primaria,40.4035875,-3.6915244,"Calle De Delicias, 32 "
57,58,Madrid-Sur,28064299,EEI,EL BOSQUE,"Calle De La Encina, 2 ",Humanes de Madrid,-,28970,914982718,914982718,eei.elbosque.humanes@educa.madrid.org,-,Público,Primaria,40.338451,-3.7715042,"Calle De La Encina, 2 "
58,59,Madrid-Capital,28043481,EEI,EL CARMEN,"Calle De Vélez Rubio, 181 ",Madrid,Hortaleza,28033,913029923,913029923,eei.elcarmen.madrid@educa.madrid.org,-,Público,Primaria,40.4797589,-3.6604593,"Calle De Vélez Rubio, 181 "
59,60,Madrid-Este,28048142,EEI,EL CASCANUECES,"Calle De Paz Camacho, 72 ",Velilla de San Antonio,-,28891,916552125,916552125,eei.elcascanueces.velilla@educa.madrid.org,-,Público,Primaria,40.373001,-3.4872901,"Calle De Paz Camacho, 72 "
60,61,Madrid-Capital,28071887,EEI,EL CASERIO,"Calle De María Teresa Robledo, 3 ",Madrid,Puente de Vallecas,28018,913808654,91 380 86 54,eei.elcaserio.madrid@educa.madrid.org,-,Público,Primaria,40.3874742,-3.6575021,"Calle De María Teresa Robledo, 3 "
61,62,Madrid-Sur,28068062,EEI,EL COCHERITO LERÉ,"Calle De Fuentevaqueros, 12 ",Fuenlabrada,-,28944,916098643,916098643,eei.elcocheritolere.fuenlabrada@educa.madrid.org,ana.garcia.luque@madrid.org,Público,Primaria,40.2753681,-3.7913374,"Calle De Fuentevaqueros, 12 "
62,63,Madrid-Este,28070111,EEI,EL COLUMPIO,"Calle Molino, 5 ",Loeches,-,28890,671095785,-,eei.elcolumpio.loeches@educa.madrid.org,elcolumpio@kidsco.es,Público,Primaria,40.3831794,-3.4137981,"Calle Molino, 5 "
63,64,Madrid-Sur,28072387,EEI,EL COLUMPIO,"Paseo De Arroyomolinos, 64 ",Móstoles,-,28938,916472056,-,eei.elcolumpio.mostoles@educa.madrid.org,-,Público,Primaria,40.3098479,-3.8765197,"Paseo De Arroyomolinos, 64 "
64,65,Madrid-Sur,28067872,EEI,EL CORRO DE LA PATATA,"Calle Del Cabo San Vicente, S/n ",Alcorcón,-,28924,916199643,916199643,eei.elcorrodelapatata.alcorcon@educa.madrid.org,-,Público,Primaria,40.3526672,-3.8157951,Calle Del Cabo San Vicente  
65,66,Madrid-Sur,28047538,EEI,EL CUCO,"Calle Maestro, 10 ",Leganés,-,28914,916801409,916801409,eei.elcuco.leganes@educa.madrid.org,-,Público,Primaria,40.32597,-3.75357,"Calle Maestro, 10 "
66,67,Madrid-Norte,28046972,EEI,EL CUQUILLO,"Paseo De La Chopera, 118 ",Alcobendas,-,28100,916624097,916622155,eei.elcuquillo.alcobendas@educa.madrid.org,-,Público,Primaria,40.5451123,-3.6500069,"Paseo De La Chopera, 118 "
67,68,Madrid-Capital,28057696,EEI,EL DUENDE,"Plaza Del Dos De Mayo, 2 ",Madrid,Centro,28004,915235187,915227256,eei.elduende.madrid@educa.madrid.org,-,Público,Primaria,40.4268,-3.7045693,"Plaza Del Dos De Mayo, 2 "
68,69,Madrid-Capital,28043533,EEI,EL ENCINAR,"Calle Del Estrecho De Mesina, 1 ",Madrid,Ciudad Lineal,28043,913889917,913884725,eei.elencinar.madrid@educa.madrid.org,-,Público,Primaria,40.452459,-3.6520661,"Calle Del Estrecho De Mesina, 1 "
69,70,Madrid-Sur,28047447,EEI,EL ESCONDITE,"Calle De Las Panaderas, 12 ",Fuenlabrada,-,28944,916979265,916970227,eei.elescondite.fuenlabrada@educa.madrid.org,gema.castano@madrid.org,Público,Primaria,40.2785483,-3.7988829,"Calle De Las Panaderas, 12 "
70,71,Madrid-Capital,28048622,EEI,EL ESPINILLO,"Pasaje De La Avenencia, 2 ",Madrid,Villaverde,28041,913176104,913176104,eei.elespinillo.madrid@educa.madrid.org,-,Público,Primaria,40.3596248,-3.6873148,"Pasaje De La Avenencia, 2 "
71,72,Madrid-Norte,28064317,EEI,EL FARO,"Avenida De Talavera De La Reina, S/n ",San Sebastián de los Reyes,-,28701,916593447,-,eei.elfaro.sansebastian@educa.madrid.org,e.i.elfaro@hotmail.com,Público,Primaria,40.5561949,-3.6410804,Avenida De Talavera De La Reina  
72,73,Madrid-Capital,28079023,EEI,EL FRESNO,"Calle María Casares, 15 ",Madrid,Fuencarral-El Pardo,28035,-,-,eei.elfresno.madrid@educa.madrid.org,-,Público,Primaria,40.4933826,-3.7232178,"Calle María Casares, 15 "
73,74,Madrid-Este,28073392,EEI,EL GATO CON BOTAS,"Calle Antonio Solís, S/n ",Torrejón de Ardoz,-,28850,911167918,911167918,eei.elgatoconbotas.torrejondeardoz@educa.madrid.org,-,Público,Primaria,40.4419839,-3.4583667,Calle Antonio Solís  
74,75,Madrid-Sur,28047009,EEI,EL JUGLAR,"Calle De Alonso Cano, 8 ",Móstoles,-,28933,916173761,916173761,eei.eljuglar.mostoles@educa.madrid.org,-,Público,Primaria,40.436031,-3.697867599999999,"Calle De Alonso Cano, 8 "
75,76,Madrid-Sur,28043776,EEI,EL LAGO,"Calle De Zaragoza, 6 ",Fuenlabrada,-,28941,916060622,916067296,eei.ellago.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.2947955,-3.794276,"Calle De Zaragoza, 6 "
76,77,Madrid-Sur,28068335,EEI,EL LIMONERO,"Calle Estrella Polar, S/n ",Parla,-,28983,914241538,-,eei.ellimonero.parla@educa.madrid.org,-,Público,Primaria,40.4106241,-3.6664405,Calle Estrella Polar  
77,78,Madrid-Capital,28047599,EEI,EL LIRON,"Calle Del Pico De Los Artilleros, 123 ",Madrid,Moratalaz,28030,913712712,-,eei.elliron.madrid@educa.madrid.org,eei.elliron@gmail.com,Público,Primaria,40.4014081,-3.642246,"Calle Del Pico De Los Artilleros, 123 "
78,79,Madrid-Capital,28043569,EEI,EL MADROÑAL,"Calle De José Paulete, 34 ",Madrid,Puente de Vallecas,28038,917787607,917787607,eei.elmadronal.madrid@educa.madrid.org,-,Público,Primaria,40.3927743,-3.6511949,"Calle De José Paulete, 34 "
79,80,Madrid-Capital,28078951,EEI,EL MAMUT,"Calle De Los Ganados Del Salobral, 7 ",Madrid,Villaverde,28021,-,-,eei.elmamut.madrid@educa.madrid.org,-,Público,Primaria,40.3375771,-3.6776042,"Calle De Los Ganados Del Salobral, 7 "
80,81,Madrid-Capital,28067677,EEI,EL MANANTIAL,"Calle De Múñico, S/n ",Madrid,Latina,28047,914640597,914640597,eei.numeroseis-latina.madrid@educa.madrid.org,-,Público,Primaria,40.4020424,-3.7410625,Calle De Múñico  
81,82,Madrid-Sur,28068347,EEI,EL MANZANO,"Calle Planeta Tierra, S/n ",Parla,-,28983,914242240,914240796,eei.elmanzano.parla@educa.madrid.org,-,Público,Primaria,40.2222971,-3.758777,Calle Planeta Tierra  
82,83,Madrid-Sur,28048580,EEI,EL MOLINO,"Avenida De Europa, 25 ",Fuenlabrada,-,28943,916082112,916082112,eei.elmolino.fuenlabrada@educa.madrid.org,antonia.pedregal@madrid.org,Público,Primaria,40.2858063,-3.8084156,"Avenida De Europa, 25 "
83,84,Madrid-Sur,28068323,EEI,EL NARANJO,"Calle Lago Blanco, S/n ",Parla,-,28981,916989624,916999945,eei.elnaranjo.parla@educa.madrid.org,einaranjo@clece.es,Público,Primaria,40.247004,-3.7698647,Calle Lago Blanco  
84,85,Madrid-Sur,28047022,EEI,EL NARANJO,"Paseo Riazor, S/n ",Fuenlabrada,-,28942,916085189,-,eei.elnaranjo.fuenlabrada@educa.madrid.org,almudena.bote@madrid.org,Público,Primaria,40.3010915,-3.8088656,Paseo Riazor  
85,86,Madrid-Oeste,28064275,EEI,EL NOGAL,"Calle De Santiago Ramón Y Cajal, S/n ",Alpedrete,-,28430,918579057,-,eei.elnogal.alpedrete@educa.madrid.org,eei.alpedrete@hotmail.com,Público,Primaria,40.6565208,-4.0218044,Calle De Santiago Ramón Y Cajal  
86,87,Madrid-Capital,28073264,EEI,EL OLIVAR,"Calle Del Olivar, 48-50 ",Madrid,Centro,28012,915306631,915306631,eei.elolivar.madrid@educa.madrid.org,-,Público,Primaria,40.4095742,-3.7015222,"Calle Del Olivar, 48-50 "
87,88,Madrid-Sur,28065334,EEI,EL OLIVAR,"Calle Las Afiladeras, 18 ",San Martín de Valdeiglesias,-,28680,918612203,-,eei.elolivar.sanmartindevaldeiglesias@educa.madrid.org,america.campoy@madrid.org,Público,Primaria,40.3586319,-4.400568499999999,"Calle Las Afiladeras, 18 "
88,89,Madrid-Norte,28044240,EEI,EL OLIVO,"Avenida De La Vega, S/n ",Tres Cantos,-,28760,918031878,918031878,eei.elolivo.trescantos@educa.madrid.org,-,Público,Primaria,40.6078657,-3.7095592,Avenida De La Vega  
89,90,Madrid-Sur,28043910,EEI,EL PEQUEÑO SAUCE,"Calle Del Pintor Murillo, S/n ",Móstoles,-,28933,916147788,916147788,eei.elpequenosauce.mostoles@educa.madrid.org,-,Público,Primaria,40.3273061,-3.8701584,Calle Del Pintor Murillo  
90,91,Madrid-Capital,28043600,EEI,EL PILAR,"Calle De Siena, 38 ",Madrid,Ciudad Lineal,28027,914036749,914036749,eei.elpilar.madrid@educa.madrid.org,-,Público,Primaria,40.4328712,-3.653175,"Calle De Siena, 38 "
91,92,Madrid-Norte,28048014,EEI,EL POCITO,"Calle Cultura, S/n ",Pedrezuela,-,28723,918446300,918446786,eei.elpocito.pedrezuela@educa.madrid.org,-,Público,Primaria,40.4794456,-3.6671462,Calle Cultura  
92,93,Madrid-Sur,28043821,EEI,EL PRADO,"Calle Murillo, S/n ",Getafe,-,28904,912027975,-,eei.elprado.getafe@educa.madrid.org,-,Público,Primaria,40.3024608,-3.7368665,Calle Murillo  
93,94,Madrid-Norte,28068773,EEI,EL PRINCIPITO,"Calle Virtudes, 32-34 ",Algete,-,28110,916291761,916291761,eei.elprincipito.algete@educa.madrid.org,-,Público,Primaria,40.59325080000001,-3.4943019,"Calle Virtudes, 32-34 "
94,95,Madrid-Sur,28060634,EEI,EL REGAJAL,"Calle La Imago, S/n ",Aranjuez,-,28300,918090252,918090253,eei.numerodos.aranjuez@educa.madrid.org,-,Público,Primaria,40.022251,-3.6222143,Calle La Imago  
95,96,Madrid-Sur,28068074,EEI,EL ROBLE,"Glorieta De Lituania, S/n ",Valdemoro,-,28341,918083102,-,eei.elroble.valdemoro@educa.madrid.org,pilar.rodriguez.jimenez@madrid.org,Público,Primaria,40.1844481,-3.6725906,Glorieta De Lituania  
96,97,Madrid-Capital,28043806,EEI,EL ROCIO,"Carretera De Carabanchel A Villaverde, 107 ",Madrid,Villaverde,28041,917231460,917231460,eei.elrocio.madrid@educa.madrid.org,eei.elrocio.madrid@educa.madrid.org,Público,Primaria,40.3509149,-3.7064284,"Carretera De Carabanchel A Villaverde, 107 "
97,98,Madrid-Sur,28048609,EEI,EL ROMANCERO,"Calle Dinamarca, 11 ",Leganés,-,28916,916884688,916884688,eei.elromancero.leganes@educa.madrid.org,-,Público,Primaria,40.3395965,-3.7427949,"Calle Dinamarca, 11 "
98,99,Madrid-Norte,28044264,EEI,EL ROMERAL,"Calle Sector Islas, 24 ",Tres Cantos,-,28760,918030248,918030248,eei.elromeral.trescantos@educa.madrid.org,-,Público,Primaria,40.5935654,-3.7013938,"Calle Sector Islas, 24 "
99,100,Madrid-Sur,28073288,EEI,EL SACAPUNTAS,"Calle De Las Ciencias, 27 ",Fuenlabrada,-,28943,914986125,914986125,eei.elsacapuntas.fuenlabrada@educa.madrid.org,escuelasacapuntas@gmail.com,Público,Primaria,40.2809742,-3.8129543,"Calle De Las Ciencias, 27 "
100,101,Madrid-Este,28068384,EEI,EL SASTRECILLO VALIENTE,"Calle Mayor, 71 ",Torres de la Alameda,-,28813,918868961,-,eei.elsastrecillovaliente.torres@educa.madrid.org,-,Público,Primaria,40.4151361,-3.7115229,"Calle Mayor, 71 "
