,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO
30,Madrid-Sur,28068086,EEI,CARACOL COL COL,"Calle Tablas De Daimiel, S/n ",Ciempozuelos,-,28350,918086676,918930668,eei.caracolcolcol.ciempozuelos@educa.madrid.org,-,Público,Primaria
31,Madrid-Norte,28058147,EEI,CARANTOÑAS,"Calle Dalia, 18 ",Cobeña,-,28863,916208527,916208527,eei.carantonas.cobena@educa.madrid.org,-,Público,Primaria
32,Madrid-Capital,28043491,EEI,CARRICOCHE,"Calle De Moreja, 1 ",Madrid,Usera,28041,913170465,913698583,eei.carricoche.madrid@educa.madrid.org,eeicarricoche@telefonica.net,Público,Primaria
33,Madrid-Este,28044136,EEI,CARRUSEL,"Calle Violeta, 17 ",Alcalá de Henares,-,28803,918818387,918818387,eei.carrusel.alcala@educa.madrid.org,-,Público,Primaria
34,Madrid-Sur,28044288,EEI,CASA DE LOS NIÑOS,"Avenida De Los Ángeles, 24 ",Getafe,-,28903,912027973,-,eei.casadelosninos.getafe@educa.madrid.org,-,Público,Primaria
35,Madrid-Norte,28064305,EEI,CASCABELES,"Calle Federico Moreno Torroba, S/n ",Alcobendas,-,28100,914904824,917080207,eei.cascabeles.alcobendas@educa.madrid.org,-,Público,Primaria
36,Madrid-Sur,28046947,EEI,CASCANUECES,"Calle De Los Arquitectos, 35 ",Getafe,-,28903,916823802,916823802,eei.cascanueces.getafe@educa.madrid.org,-,Público,Primaria
37,Madrid-Sur,28064123,EEI,CASIOPEA,"Calle Toledo, 54 ",Getafe,-,28901,916950164,916950164,eei.casiopea.getafe@educa.madrid.org,-,Público,Primaria
38,Madrid-Este,28044203,EEI,CHARLIE RIVEL,"Calle De Velázquez, S/n ",Coslada,-,28821,916738938,916738938,eei.charlierivel.coslada@educa.madrid.org,-,Público,Primaria
39,Madrid-Capital,28043508,EEI,CHAVALITOS,"Calle De Pradales, 8 ",Madrid,Latina,28047,914647850,914630659,eei.chavalitos.madrid@educa.madrid.org,-,Público,Primaria
40,Madrid-Capital,28070664,EEI,CIELO AZUL,"Bulevar De Indalecio Prieto, 16 ",Madrid,Vicálvaro,28032,917720849,-,eei.cieloazul.madrid@educa.madrid.org,cieloazul@educaula.org,Público,Primaria
41,Madrid-Capital,28068050,EEI,CINCO LOBITOS,"Calle De Forsitia, 2 ",Madrid,Carabanchel,28054,914006684,914006684,eei.cincolobitos.madrid@educa.madrid.org,-,Público,Primaria
42,Madrid-Sur,28043909,EEI,COLORES,"Calle Coronel De Palma, S/n ",Móstoles,-,28934,916180211,916180211,eei.colores.mostoles@educa.madrid.org,BLOG: escuelainfantilcoloresmostoles.blogspot.com.es,Público,Primaria
43,Madrid-Capital,28047587,EEI,COLORIN COLORADO,"Calle Del Conde De Torralba, 8 ",Madrid,Chamartín,28046,917331277,-,eei.colorincolorado.madrid@educa.madrid.org,-,Público,Primaria
44,Madrid-Oeste,28058202,EEI,CUENTACUENTOS,"Calle Fuente Del Álamo, 10 ",Collado Villalba,-,28400,918510929,918510929,eei.cuentacuentos.colladovillalba@educa.madrid.org,-,Público,Primaria
45,Madrid-Este,28044215,EEI,DIAMELA,"Calle Colombia, S/n ",Coslada,-,28823,916735343,-,eei.diamela.coslada@educa.madrid.org,-,Público,Primaria
46,Madrid-Este,28067860,EEI,DON MELITON,"Calle Arturo Soria, 5 ",Alcalá de Henares,-,28806,918786757,-,eei.donmeliton.alcala@educa.madrid.org,-,Público,Primaria
47,Madrid-Oeste,28072338,EEI,DON PIMPON,"Calle De Murillo, 1 ",Galapagar,-,28420,918585012,-,eei.donpimpon.galapagar@educa.madrid.org,-,Público,Primaria
48,Madrid-Capital,28072028,EEI,DOÑA FRANCISQUITA,"Calle De Cambados, 1 ",Madrid,Hortaleza,28050,917642004,917642004,eei.donafrancisquita.madrid@educa.madrid.org,-,Público,Primaria
49,Madrid-Sur,28061687,EEI,DULCINEA,"Calle Moraña, 27 ",Leganés,-,28915,916808230,-,eei.dulcinea.leganes@educa.madrid.org,direccion.eidulcinea@grupo5.net,Público,Primaria
50,Madrid-Capital,28047472,EEI,EL ALBA,"Calle De Toledo, 181 ",Madrid,Arganzuela,28005,915173351,915173351,eei.elalba.madrid@educa.madrid.org,elalbaescuela@gmail.com,Público,Primaria
51,Madrid-Norte,28068232,EEI,EL ALMENDRO,"Calle De Juan Gris, 3 ",Colmenar Viejo,-,28770,918473480,-,eei.elalmendro.colmenarviejo@educa.madrid.org,eei.elalmendro@gmail.com,Público,Primaria
52,Madrid-Este,28070263,EEI,EL ARLEQUIN,"Avenida De José Hierro, 88 ",Rivas-Vaciamadrid,-,28521,914991589,916442764,eei.elarlequin.rivas@educa.madrid.org,eei.elarquelin@gmail.com,Público,Primaria
53,Madrid-Capital,28072065,EEI,EL BARBERILLO DE LAVAPIES,"Calle Del Granito, 32 C/v Plomo, 16 ",Madrid,Arganzuela,28045,915397437,915397437,eei.elbarberillodelavapies.madrid@educa.madrid.org,-,Público,Primaria
54,Madrid-Capital,28071851,EEI,EL BATEO,"Calle De Pinos De Osuna, 3 ",Madrid,Barajas,28042,917414436,-,eei.elbateo.madrid@educa.madrid.org,eielbateo@madrid.es,Público,Primaria
55,Madrid-Capital,28043466,EEI,EL BELEN,"Calle De Braille, 23 ",Madrid,Fuencarral-El Pardo,28034,917341043,917341043,eei.elbelen.madrid@educa.madrid.org,-,Público,Primaria
56,Madrid-Sur,28070937,EEI,EL BONSAI,"Calle De Ernest Lluch, S/n ",Fuenlabrada,-,28942,914985345,914985345,eei.elbonsai.fuenlabrada@educa.madrid.org,-,Público,Primaria
57,Madrid-Capital,28063076,EEI,EL BOSQUE,"Calle De Delicias, 32 ",Madrid,Arganzuela,28045,915271590,915271590,eei.elbosque.madrid@educa.madrid.org,-,Público,Primaria
58,Madrid-Sur,28064299,EEI,EL BOSQUE,"Calle De La Encina, 2 ",Humanes de Madrid,-,28970,914982718,914982718,eei.elbosque.humanes@educa.madrid.org,-,Público,Primaria
59,Madrid-Capital,28043481,EEI,EL CARMEN,"Calle De Vélez Rubio, 181 ",Madrid,Hortaleza,28033,913029923,913029923,eei.elcarmen.madrid@educa.madrid.org,-,Público,Primaria
60,Madrid-Este,28048142,EEI,EL CASCANUECES,"Calle De Paz Camacho, 72 ",Velilla de San Antonio,-,28891,916552125,916552125,eei.elcascanueces.velilla@educa.madrid.org,-,Público,Primaria
61,Madrid-Capital,28071887,EEI,EL CASERIO,"Calle De María Teresa Robledo, 3 ",Madrid,Puente de Vallecas,28018,913808654,91 380 86 54,eei.elcaserio.madrid@educa.madrid.org,-,Público,Primaria
62,Madrid-Sur,28068062,EEI,EL COCHERITO LERÉ,"Calle De Fuentevaqueros, 12 ",Fuenlabrada,-,28944,916098643,916098643,eei.elcocheritolere.fuenlabrada@educa.madrid.org,ana.garcia.luque@madrid.org,Público,Primaria
63,Madrid-Este,28070111,EEI,EL COLUMPIO,"Calle Molino, 5 ",Loeches,-,28890,671095785,-,eei.elcolumpio.loeches@educa.madrid.org,elcolumpio@kidsco.es,Público,Primaria
64,Madrid-Sur,28072387,EEI,EL COLUMPIO,"Paseo De Arroyomolinos, 64 ",Móstoles,-,28938,916472056,-,eei.elcolumpio.mostoles@educa.madrid.org,-,Público,Primaria
65,Madrid-Sur,28067872,EEI,EL CORRO DE LA PATATA,"Calle Del Cabo San Vicente, S/n ",Alcorcón,-,28924,916199643,916199643,eei.elcorrodelapatata.alcorcon@educa.madrid.org,-,Público,Primaria
66,Madrid-Sur,28047538,EEI,EL CUCO,"Calle Maestro, 10 ",Leganés,-,28914,916801409,916801409,eei.elcuco.leganes@educa.madrid.org,-,Público,Primaria
67,Madrid-Norte,28046972,EEI,EL CUQUILLO,"Paseo De La Chopera, 118 ",Alcobendas,-,28100,916624097,916622155,eei.elcuquillo.alcobendas@educa.madrid.org,-,Público,Primaria
68,Madrid-Capital,28057696,EEI,EL DUENDE,"Plaza Del Dos De Mayo, 2 ",Madrid,Centro,28004,915235187,915227256,eei.elduende.madrid@educa.madrid.org,-,Público,Primaria
69,Madrid-Capital,28043533,EEI,EL ENCINAR,"Calle Del Estrecho De Mesina, 1 ",Madrid,Ciudad Lineal,28043,913889917,913884725,eei.elencinar.madrid@educa.madrid.org,-,Público,Primaria
70,Madrid-Sur,28047447,EEI,EL ESCONDITE,"Calle De Las Panaderas, 12 ",Fuenlabrada,-,28944,916979265,916970227,eei.elescondite.fuenlabrada@educa.madrid.org,gema.castano@madrid.org,Público,Primaria
71,Madrid-Capital,28048622,EEI,EL ESPINILLO,"Pasaje De La Avenencia, 2 ",Madrid,Villaverde,28041,913176104,913176104,eei.elespinillo.madrid@educa.madrid.org,-,Público,Primaria
72,Madrid-Norte,28064317,EEI,EL FARO,"Avenida De Talavera De La Reina, S/n ",San Sebastián de los Reyes,-,28701,916593447,-,eei.elfaro.sansebastian@educa.madrid.org,e.i.elfaro@hotmail.com,Público,Primaria
73,Madrid-Capital,28079023,EEI,EL FRESNO,"Calle María Casares, 15 ",Madrid,Fuencarral-El Pardo,28035,-,-,eei.elfresno.madrid@educa.madrid.org,-,Público,Primaria
74,Madrid-Este,28073392,EEI,EL GATO CON BOTAS,"Calle Antonio Solís, S/n ",Torrejón de Ardoz,-,28850,911167918,911167918,eei.elgatoconbotas.torrejondeardoz@educa.madrid.org,-,Público,Primaria
75,Madrid-Sur,28047009,EEI,EL JUGLAR,"Calle De Alonso Cano, 8 ",Móstoles,-,28933,916173761,916173761,eei.eljuglar.mostoles@educa.madrid.org,-,Público,Primaria
76,Madrid-Sur,28043776,EEI,EL LAGO,"Calle De Zaragoza, 6 ",Fuenlabrada,-,28941,916060622,916067296,eei.ellago.fuenlabrada@educa.madrid.org,-,Público,Primaria
77,Madrid-Sur,28068335,EEI,EL LIMONERO,"Calle Estrella Polar, S/n ",Parla,-,28983,914241538,-,eei.ellimonero.parla@educa.madrid.org,-,Público,Primaria
78,Madrid-Capital,28047599,EEI,EL LIRON,"Calle Del Pico De Los Artilleros, 123 ",Madrid,Moratalaz,28030,913712712,-,eei.elliron.madrid@educa.madrid.org,eei.elliron@gmail.com,Público,Primaria
79,Madrid-Capital,28043569,EEI,EL MADROÑAL,"Calle De José Paulete, 34 ",Madrid,Puente de Vallecas,28038,917787607,917787607,eei.elmadronal.madrid@educa.madrid.org,-,Público,Primaria
80,Madrid-Capital,28078951,EEI,EL MAMUT,"Calle De Los Ganados Del Salobral, 7 ",Madrid,Villaverde,28021,-,-,eei.elmamut.madrid@educa.madrid.org,-,Público,Primaria
81,Madrid-Capital,28067677,EEI,EL MANANTIAL,"Calle De Múñico, S/n ",Madrid,Latina,28047,914640597,914640597,eei.numeroseis-latina.madrid@educa.madrid.org,-,Público,Primaria
82,Madrid-Sur,28068347,EEI,EL MANZANO,"Calle Planeta Tierra, S/n ",Parla,-,28983,914242240,914240796,eei.elmanzano.parla@educa.madrid.org,-,Público,Primaria
83,Madrid-Sur,28048580,EEI,EL MOLINO,"Avenida De Europa, 25 ",Fuenlabrada,-,28943,916082112,916082112,eei.elmolino.fuenlabrada@educa.madrid.org,antonia.pedregal@madrid.org,Público,Primaria
84,Madrid-Sur,28068323,EEI,EL NARANJO,"Calle Lago Blanco, S/n ",Parla,-,28981,916989624,916999945,eei.elnaranjo.parla@educa.madrid.org,einaranjo@clece.es,Público,Primaria
85,Madrid-Sur,28047022,EEI,EL NARANJO,"Paseo Riazor, S/n ",Fuenlabrada,-,28942,916085189,-,eei.elnaranjo.fuenlabrada@educa.madrid.org,almudena.bote@madrid.org,Público,Primaria
86,Madrid-Oeste,28064275,EEI,EL NOGAL,"Calle De Santiago Ramón Y Cajal, S/n ",Alpedrete,-,28430,918579057,-,eei.elnogal.alpedrete@educa.madrid.org,eei.alpedrete@hotmail.com,Público,Primaria
87,Madrid-Capital,28073264,EEI,EL OLIVAR,"Calle Del Olivar, 48-50 ",Madrid,Centro,28012,915306631,915306631,eei.elolivar.madrid@educa.madrid.org,-,Público,Primaria
88,Madrid-Sur,28065334,EEI,EL OLIVAR,"Calle Las Afiladeras, 18 ",San Martín de Valdeiglesias,-,28680,918612203,-,eei.elolivar.sanmartindevaldeiglesias@educa.madrid.org,america.campoy@madrid.org,Público,Primaria
89,Madrid-Norte,28044240,EEI,EL OLIVO,"Avenida De La Vega, S/n ",Tres Cantos,-,28760,918031878,918031878,eei.elolivo.trescantos@educa.madrid.org,-,Público,Primaria
90,Madrid-Sur,28043910,EEI,EL PEQUEÑO SAUCE,"Calle Del Pintor Murillo, S/n ",Móstoles,-,28933,916147788,916147788,eei.elpequenosauce.mostoles@educa.madrid.org,-,Público,Primaria
91,Madrid-Capital,28043600,EEI,EL PILAR,"Calle De Siena, 38 ",Madrid,Ciudad Lineal,28027,914036749,914036749,eei.elpilar.madrid@educa.madrid.org,-,Público,Primaria
92,Madrid-Norte,28048014,EEI,EL POCITO,"Calle Cultura, S/n ",Pedrezuela,-,28723,918446300,918446786,eei.elpocito.pedrezuela@educa.madrid.org,-,Público,Primaria
93,Madrid-Sur,28043821,EEI,EL PRADO,"Calle Murillo, S/n ",Getafe,-,28904,912027975,-,eei.elprado.getafe@educa.madrid.org,-,Público,Primaria
94,Madrid-Norte,28068773,EEI,EL PRINCIPITO,"Calle Virtudes, 32-34 ",Algete,-,28110,916291761,916291761,eei.elprincipito.algete@educa.madrid.org,-,Público,Primaria
95,Madrid-Sur,28060634,EEI,EL REGAJAL,"Calle La Imago, S/n ",Aranjuez,-,28300,918090252,918090253,eei.numerodos.aranjuez@educa.madrid.org,-,Público,Primaria
96,Madrid-Sur,28068074,EEI,EL ROBLE,"Glorieta De Lituania, S/n ",Valdemoro,-,28341,918083102,-,eei.elroble.valdemoro@educa.madrid.org,pilar.rodriguez.jimenez@madrid.org,Público,Primaria
97,Madrid-Capital,28043806,EEI,EL ROCIO,"Carretera De Carabanchel A Villaverde, 107 ",Madrid,Villaverde,28041,917231460,917231460,eei.elrocio.madrid@educa.madrid.org,eei.elrocio.madrid@educa.madrid.org,Público,Primaria
98,Madrid-Sur,28048609,EEI,EL ROMANCERO,"Calle Dinamarca, 11 ",Leganés,-,28916,916884688,916884688,eei.elromancero.leganes@educa.madrid.org,-,Público,Primaria
99,Madrid-Norte,28044264,EEI,EL ROMERAL,"Calle Sector Islas, 24 ",Tres Cantos,-,28760,918030248,918030248,eei.elromeral.trescantos@educa.madrid.org,-,Público,Primaria
100,Madrid-Sur,28073288,EEI,EL SACAPUNTAS,"Calle De Las Ciencias, 27 ",Fuenlabrada,-,28943,914986125,914986125,eei.elsacapuntas.fuenlabrada@educa.madrid.org,escuelasacapuntas@gmail.com,Público,Primaria
101,Madrid-Este,28068384,EEI,EL SASTRECILLO VALIENTE,"Calle Mayor, 71 ",Torres de la Alameda,-,28813,918868961,-,eei.elsastrecillovaliente.torres@educa.madrid.org,-,Público,Primaria
102,Madrid-Capital,28068049,EEI,EL SEÑOR DON GATO,"Calle De Los Poetas, S/n ",Madrid,Vicálvaro,28032,670939547,917080207,eei.elsenordongato.madrid@educa.madrid.org,elsenordongato@kidsco.es,Público,Primaria
103,Madrid-Capital,28044355,EEI,EL SOL,"Calle De Enrique Jardiel Poncela, 8 ",Madrid,Chamartín,28016,913532644,913532647,eei.elsol.madrid@educa.madrid.org,-,Público,Primaria
104,Madrid-Sur,28043946,EEI,EL SOTO,"Avenida Iker Casillas, 23 ",Móstoles,-,28935,916131690,-,eei.elsoto.mostoles@educa.madrid.org,soto@educainfantilmostoles.org,Público,Primaria
105,Madrid-Capital,28047915,EEI,EL SUR,"Calle De Cifuentes, 12 ",Madrid,Villaverde,28021,917983944,917979754,eei.elsur.madrid@educa.madrid.org,-,Público,Primaria
106,Madrid-Este,28044008,EEI,EL TAMBOR,"Calle Gustavo Adolfo Bécquer, S/n ",San Fernando de Henares,-,28830,916690204,916737699,eei.eltambor.sanfernando@educa.madrid.org,-,Público,Primaria
107,Madrid-Oeste,28043818,EEI,EL TOMILLAR,"Calle Carretera Torrelodones, 25 ",Torrelodones,-,28250,918592893,918596420,eei.eltomillar.torrelodones@educa.madrid.org,escuela@escuelaeltomillar.com,Público,Primaria
108,Madrid-Capital,28070354,EEI,EL TREBOL,"Calle De Tristana, 2 ",Madrid,Puente de Vallecas,28018,917772208,-,eei.eltrebol.madrid@educa.madrid.org,direccion.eieltrebol@grupo5.net,Público,Primaria
109,Madrid-Capital,28079102,EEI,EL TREN DE ARGANDA,"Plaza Del Doctor Laguna, 11 ",Madrid,Retiro,28009,-,-,-,-,Público,Primaria
110,Madrid-Capital,28068271,EEI,EL TREN DE LA FRESA,"Calle De Ramírez De Prado, 6 ",Madrid,Arganzuela,28045,915399458,-,eei.trendelafresa.madrid@educa.madrid.org,-,Público,Primaria
111,Madrid-Capital,28043685,EEI,EL VALLE,"Avenida Del Valle, 22 ",Madrid,Chamberí,28003,915530388,915530388,eei.elvalle.madrid@educa.madrid.org,-,Público,Primaria
112,Madrid-Capital,28079011,EEI,ELENA FORTUN,"Avenida De Monasterio De Silos, 57 ",Madrid,Fuencarral-El Pardo,28049,-,-,eei.elenafortun.madrid@educa.madrid.org,-,Público,Primaria
113,Madrid-Capital,28080116,EEI,ESCUELA INFANTIL BASE MILITAR EL GOLOSO,"Carretera M-607 Colmenar Viejo, K17,5 ",Madrid,Fuencarral-El Pardo,28790,-,-,-,-,Público,Primaria
114,Madrid-Capital,28073379,EEI,ESCUELAS DE SAN ANTON,"Calle De La Farmacia, 13 ",Madrid,Centro,28004,915325557,-,eei.escuelasdesananton.madrid@educa.madrid.org,ei.centro5@hotmail.com,Público,Primaria
115,Madrid-Capital,28046212,EEI,EXTREMADURA,"Calle De La Esfinge, 90 ",Madrid,San Blas-Canillejas,28022,913201869,913201869,eei.extremadura.madrid@educa.madrid.org,-,Público,Primaria
116,Madrid-Sur,28065358,EEI,FABULAS Y LEYENDAS,"Calle Nueva York, 12 ",Móstoles,-,28938,647521218,-,eei.fabulasyleyendas.mostoles@educa.madrid.org,fabulasyleyendas@kidsco.es,Público,Primaria
117,Madrid-Este,28046081,EEI,FANTASIA,"Calle Rosalía De Castro, 5 ",San Martín de la Vega,-,28330,918946565,918946565,eei.fantasia.sanmartindelavega@educa.madrid.org,-,Público,Primaria
118,Madrid-Capital,28071942,EEI,FERNANDO EL CATOLICO,"Calle De Fernando El Católico, 16 B ",Madrid,Chamberí,28015,914456792,-,eei.fernandoelcatolico.madrid@educa.madrid.org,-,Público,Primaria
119,Madrid-Sur,28043855,EEI,FORTUNA,"Calle Faro, 1 ",Leganés,-,28917,916197568,916129096,eei.fortuna.leganes@educa.madrid.org,-,Público,Primaria
120,Madrid-Norte,28072341,EEI,FUENTELUCHA,"Avenida De La Ilusión, 20 ",Alcobendas,-,28100,911722892,-,eei.fuentelucha.alcobendas@educa.madrid.org,-,Público,Primaria
121,Madrid-Capital,28062631,EEI,GAIA,"Calle De Mérida, 23 ",Madrid,Moratalaz,28030,917725080,917724216,eei.gaia.madrid@educa.madrid.org,http://www.escuelagaia.org,Público,Primaria
122,Madrid-Este,28047745,EEI,GALATEA,"Calle Fuente Del Sol, 85 ",Alcalá de Henares,-,28803,918808570,918808714,eei.galatea.alcala@educa.madrid.org,-,Público,Primaria
123,Madrid-Sur,28047629,EEI,GALLIPATOS,"Avenida De Nuevo Versalles, 14 ",Fuenlabrada,-,28942,916893282,916893282,eei.gallipatos.fuenlabrada@educa.madrid.org,olga.royo@madrid.org,Público,Primaria
124,Madrid-Capital,28071978,EEI,GIGANTES Y CABEZUDOS,"Calle De Rafael Bergamín, 28 ",Madrid,Ciudad Lineal,28043,678207806,-,eei.gigantesycabezudos.madrid@educa.madrid.org,-,Público,Primaria
125,Madrid-Norte,28049110,EEI,GLORIA FUERTES,"Avenida De España, S/n ",Soto del Real,-,28791,918476915,918476915,eei.gloriafuertes.soto@educa.madrid.org,eigloriafuertes@gmail.com,Público,Primaria
126,Madrid-Este,28048610,EEI,GLORIA FUERTES,"Calle León Felipe, 24 ",Arganda del Rey,-,28500,910499220,910499220,eei.gloriafuertes.arganda@educa.madrid.org,-,Público,Primaria
127,Madrid-Sur,28048634,EEI,GLORIA FUERTES,"Calle De Las Islas Cíes, 2 ",Alcorcón,-,28924,916128962,916128962,eei.gloriafuertes.alcorcon@educa.madrid.org,-,Público,Primaria
128,Madrid-Este,28047435,EEI,GRIMM,"Calle Aloe, S/n ",Rivas-Vaciamadrid,-,28522,916665837,916662488,eei.grimm.rivas@educa.madrid.org,cm.eei.grimm@gmail.com,Público,Primaria
129,Madrid-Capital,28047654,EEI,HIEDRA,"Calle De Amposta, 34 ",Madrid,San Blas-Canillejas,28037,913062533,-,eei.hiedra.madrid@educa.madrid.org,escuelahiedra@gmail.com,Público,Primaria
130,Madrid-Sur,28064111,EEI,JACARANDA,"Calle Libertad, 108 ",Valdemoro,-,28341,918014607,-,eei.jacaranda.valdemoro@educa.madrid.org,-,Público,Primaria
131,Madrid-Sur,28044173,EEI,JARDINES DE ARANJUEZ,"Calle Del Primero De Mayo, 3 ",Aranjuez,-,28300,918917960,918917960,eei.jardinesdearanjuez.aranjuez@educa.madrid.org,-,Público,Primaria
