,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO,latitudes,longitudes,calle
14,Madrid-Capital,28079621,EEI,ANTONIO MERCERO,"Avenida De Valladolid, 49b ",Madrid,Moncloa-Aravaca,28008,-,-,-,-,Público,Primaria,40.4344324,-3.7346743,"Avenida De Valladolid, 49b "
15,Madrid-Capital,28062643,EEI,ARCE,"Calle Del Alcalde Garrido Juaristi, 6 ",Madrid,Moratalaz,28030,913285820,913285820,eei.arce.madrid@educa.madrid.org,-,Público,Primaria,40.4139842,-3.6566265875420068,"Calle Del Alcalde Garrido Juaristi, 6 "
16,Madrid-Capital,28043454,EEI,ARCO IRIS,"Calle De Diego Olivera Victorio, 10 ",Madrid,Villa de Vallecas,28031,913311422,913311422,eei.arcoiris.madrid@educa.madrid.org,-,Público,Primaria,40.383478,-3.6138177,"Calle De Diego Olivera Victorio, 10 "
17,Madrid-Este,28049055,EEI,ARCO IRIS,"Calle Valverde De Alcala, 1 ",Alcalá de Henares,-,28806,918811481,918811481,eei.arcoiris.alcala@educa.madrid.org,directora@escuelaarcoiris.com,Público,Primaria,40.4909217,-3.3674212,"Calle Valverde De Alcala, 1 "
18,Madrid-Sur,28080499,EEI,ARCOIRIS,"Avenida Niceto Alcalá Zamora, S/n ",Getafe,-,28904,916834716,-,eei.arcoiris.getafe@educa.madrid.org,-,Público,Primaria,40.2976888,-3.7548998,Avenida Niceto Alcalá Zamora  
19,Madrid-Sur,28065292,EEI,ARTE,"Calle Mezquita, 36 ",Getafe,-,28903,916843528,-,eei.arte.getafe@educa.madrid.org,-,Público,Primaria,40.318703,-3.7133706,"Calle Mezquita, 36 "
20,Madrid-Oeste,28068037,EEI,ASERRIN ASERRAN,"Calle Castillo De Atienza, 4 ","Rozas de Madrid, Las",-,28232,916365929,916365929,eei.aserrinaserran.lasrozas@educa.madrid.org,-,Público,Primaria,40.4676541,-3.949481,"Calle Castillo De Atienza, 4 "
21,Madrid-Capital,28043740,EEI,BÄRBEL INHELDER,"Carretera De Colmenar, K15 ",Madrid,Fuencarral-El Pardo,28049,914972303,914972301,eei.barbelinhelder.madrid@educa.madrid.org,escuela.infantil@uam.es,Público,Primaria,40.622333,-3.8871417,"Carretera De Colmenar, K15 "
22,Madrid-Sur,28049067,EEI,BARCO DE PAPEL,"Avenida De Los Cinco Siglos, 1 ",Navalcarnero,-,28600,918113003,918113657,eei.barcodepapel.navalcarnero@educa.madrid.org,-,Público,Primaria,40.281958,-4.0196426,"Avenida De Los Cinco Siglos, 1 "
23,Madrid-Sur,28043922,EEI,CALEIDOSCOPIO,"Avenida De Carlos V, 3 ",Móstoles,-,28936,916454995,916454995,eei.caleidoscopio.mostoles@educa.madrid.org,caleidoscopio@educainfantilmostoles.org,Público,Primaria,40.3178128,-3.8518315,"Avenida De Carlos V, 3 "
24,Madrid-Oeste,28072429,EEI,CALIMERO,"Calle Amapolas, S/n ",Collado Villalba,-,28400,674334740,-,eei.calimero.colladovillalba@educa.madrid.org,calimero@kidsco.es,Público,Primaria,40.6386611,-4.0100223,Calle Amapolas  
25,Madrid-Sur,28068219,EEI,CAMPANILLA,"Calle Miguel De Cervantes, 106 ",Arroyomolinos,-,28939,916096167,916119054,eei.campanilla.arroyomolinos@educa.madrid.org,-,Público,Primaria,40.4232218,-3.9765655,"Calle Miguel De Cervantes, 106 "
26,Madrid-Sur,28070202,EEI,CAMPANILLA,"Calle De Copenhague, 55 ",Alcorcón,-,28922,605865768,-,eei.campanilla.alcorcon@educa.madrid.org,campanilla.alcorcon@gmail.com,Público,Primaria,40.4610504,-3.4727772,"Calle De Copenhague, 55 "
27,Madrid-Capital,28068301,EEI,CAMPANILLA,"Calle De Ávila, 4 ",Madrid,Tetuán,28020,915707576,915707576,eei.campanilla.madrid@educa.madrid.org,lunas.7@hotmaiil.com,Público,Primaria,40.0565297,-3.59174,"Calle De Ávila, 4 "
28,Madrid-Sur,28049195,EEI,CANCIONERO,"Calle Emilia Pardo Bazán, S/n ",Getafe,-,28903,916969593,916969593,eei.cancionero.getafe@educa.madrid.org,raquel.victorio@madrid.org,Público,Primaria,40.3255587,-3.725562,Calle Emilia Pardo Bazán  
29,Madrid-Norte,28044252,EEI,CANTINELA,"Sector Descubridores, 18 ",Tres Cantos,-,28760,918033249,-,eei.cantinela.trescantos@educa.madrid.org,eicantinela@hotmail.com,Público,Primaria,40.6095423,-3.7153598,"Sector Descubridores, 18 "
30,Madrid-Sur,28068086,EEI,CARACOL COL COL,"Calle Tablas De Daimiel, S/n ",Ciempozuelos,-,28350,918086676,918930668,eei.caracolcolcol.ciempozuelos@educa.madrid.org,-,Público,Primaria,40.2946843,-3.7391067,Calle Tablas De Daimiel  
31,Madrid-Norte,28058147,EEI,CARANTOÑAS,"Calle Dalia, 18 ",Cobeña,-,28863,916208527,916208527,eei.carantonas.cobena@educa.madrid.org,-,Público,Primaria,40.5705838,-3.501074366600162,"Calle Dalia, 18 "
32,Madrid-Capital,28043491,EEI,CARRICOCHE,"Calle De Moreja, 1 ",Madrid,Usera,28041,913170465,913698583,eei.carricoche.madrid@educa.madrid.org,eeicarricoche@telefonica.net,Público,Primaria,40.3677634,-3.6988154,"Calle De Moreja, 1 "
33,Madrid-Este,28044136,EEI,CARRUSEL,"Calle Violeta, 17 ",Alcalá de Henares,-,28803,918818387,918818387,eei.carrusel.alcala@educa.madrid.org,-,Público,Primaria,40.4767174,-3.3732637,"Calle Violeta, 17 "
34,Madrid-Sur,28044288,EEI,CASA DE LOS NIÑOS,"Avenida De Los Ángeles, 24 ",Getafe,-,28903,912027973,-,eei.casadelosninos.getafe@educa.madrid.org,-,Público,Primaria,40.3095213,-3.7228336,"Avenida De Los Ángeles, 24 "
35,Madrid-Norte,28064305,EEI,CASCABELES,"Calle Federico Moreno Torroba, S/n ",Alcobendas,-,28100,914904824,917080207,eei.cascabeles.alcobendas@educa.madrid.org,-,Público,Primaria,40.5488817,-3.6523859,Calle Federico Moreno Torroba  
36,Madrid-Sur,28046947,EEI,CASCANUECES,"Calle De Los Arquitectos, 35 ",Getafe,-,28903,916823802,916823802,eei.cascanueces.getafe@educa.madrid.org,-,Público,Primaria,40.3228022,-3.7253943,"Calle De Los Arquitectos, 35 "
37,Madrid-Sur,28064123,EEI,CASIOPEA,"Calle Toledo, 54 ",Getafe,-,28901,916950164,916950164,eei.casiopea.getafe@educa.madrid.org,-,Público,Primaria,40.3031072,-3.7329683,"Calle Toledo, 54 "
38,Madrid-Este,28044203,EEI,CHARLIE RIVEL,"Calle De Velázquez, S/n ",Coslada,-,28821,916738938,916738938,eei.charlierivel.coslada@educa.madrid.org,-,Público,Primaria,40.4959281,-3.5101934,Calle De Velázquez  
39,Madrid-Capital,28043508,EEI,CHAVALITOS,"Calle De Pradales, 8 ",Madrid,Latina,28047,914647850,914630659,eei.chavalitos.madrid@educa.madrid.org,-,Público,Primaria,40.4029118,-3.7480353,"Calle De Pradales, 8 "
40,Madrid-Capital,28070664,EEI,CIELO AZUL,"Bulevar De Indalecio Prieto, 16 ",Madrid,Vicálvaro,28032,917720849,-,eei.cieloazul.madrid@educa.madrid.org,cieloazul@educaula.org,Público,Primaria,40.4021654,-3.621376556139411,"Bulevar De Indalecio Prieto, 16 "
41,Madrid-Capital,28068050,EEI,CINCO LOBITOS,"Calle De Forsitia, 2 ",Madrid,Carabanchel,28054,914006684,914006684,eei.cincolobitos.madrid@educa.madrid.org,-,Público,Primaria,40.3636445,-3.7551873,"Calle De Forsitia, 2 "
42,Madrid-Sur,28043909,EEI,COLORES,"Calle Coronel De Palma, S/n ",Móstoles,-,28934,916180211,916180211,eei.colores.mostoles@educa.madrid.org,BLOG: escuelainfantilcoloresmostoles.blogspot.com.es,Público,Primaria,40.318182,-3.8724721,Calle Coronel De Palma  
43,Madrid-Capital,28047587,EEI,COLORIN COLORADO,"Calle Del Conde De Torralba, 8 ",Madrid,Chamartín,28046,917331277,-,eei.colorincolorado.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Del Conde De Torralba, 8 "
44,Madrid-Oeste,28058202,EEI,CUENTACUENTOS,"Calle Fuente Del Álamo, 10 ",Collado Villalba,-,28400,918510929,918510929,eei.cuentacuentos.colladovillalba@educa.madrid.org,-,Público,Primaria,40.64426305,-3.9942257470563804,"Calle Fuente Del Álamo, 10 "
45,Madrid-Este,28044215,EEI,DIAMELA,"Calle Colombia, S/n ",Coslada,-,28823,916735343,-,eei.diamela.coslada@educa.madrid.org,-,Público,Primaria,40.4271081,-3.5427115,Calle Colombia  
46,Madrid-Este,28067860,EEI,DON MELITON,"Calle Arturo Soria, 5 ",Alcalá de Henares,-,28806,918786757,-,eei.donmeliton.alcala@educa.madrid.org,-,Público,Primaria,40.4808735,-3.3940207,"Calle Arturo Soria, 5 "
47,Madrid-Oeste,28072338,EEI,DON PIMPON,"Calle De Murillo, 1 ",Galapagar,-,28420,918585012,-,eei.donpimpon.galapagar@educa.madrid.org,-,Público,Primaria,40.4333408,-3.7007435,"Calle De Murillo, 1 "
48,Madrid-Capital,28072028,EEI,DOÑA FRANCISQUITA,"Calle De Cambados, 1 ",Madrid,Hortaleza,28050,917642004,917642004,eei.donafrancisquita.madrid@educa.madrid.org,-,Público,Primaria,40.4786637,-3.6301701,"Calle De Cambados, 1 "
49,Madrid-Sur,28061687,EEI,DULCINEA,"Calle Moraña, 27 ",Leganés,-,28915,916808230,-,eei.dulcinea.leganes@educa.madrid.org,direccion.eidulcinea@grupo5.net,Público,Primaria,40.3326456,-3.7531446,"Calle Moraña, 27 "
50,Madrid-Capital,28047472,EEI,EL ALBA,"Calle De Toledo, 181 ",Madrid,Arganzuela,28005,915173351,915173351,eei.elalba.madrid@educa.madrid.org,elalbaescuela@gmail.com,Público,Primaria,40.40163435,-3.713548366025891,"Calle De Toledo, 181 "
51,Madrid-Norte,28068232,EEI,EL ALMENDRO,"Calle De Juan Gris, 3 ",Colmenar Viejo,-,28770,918473480,-,eei.elalmendro.colmenarviejo@educa.madrid.org,eei.elalmendro@gmail.com,Público,Primaria,40.45613175,-3.4473077868206525,"Calle De Juan Gris, 3 "
52,Madrid-Este,28070263,EEI,EL ARLEQUIN,"Avenida De José Hierro, 88 ",Rivas-Vaciamadrid,-,28521,914991589,916442764,eei.elarlequin.rivas@educa.madrid.org,eei.elarquelin@gmail.com,Público,Primaria,40.3425277,-3.5238438,"Avenida De José Hierro, 88 "
53,Madrid-Capital,28072065,EEI,EL BARBERILLO DE LAVAPIES,"Calle Del Granito, 32 C/v Plomo, 16 ",Madrid,Arganzuela,28045,915397437,915397437,eei.elbarberillodelavapies.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Del Granito, 32 C/v Plomo, 16 "
54,Madrid-Capital,28071851,EEI,EL BATEO,"Calle De Pinos De Osuna, 3 ",Madrid,Barajas,28042,917414436,-,eei.elbateo.madrid@educa.madrid.org,eielbateo@madrid.es,Público,Primaria,N/A,N/A,"Calle De Pinos De Osuna, 3 "
55,Madrid-Capital,28043466,EEI,EL BELEN,"Calle De Braille, 23 ",Madrid,Fuencarral-El Pardo,28034,917341043,917341043,eei.elbelen.madrid@educa.madrid.org,-,Público,Primaria,40.4956649,-3.694777,"Calle De Braille, 23 "
56,Madrid-Sur,28070937,EEI,EL BONSAI,"Calle De Ernest Lluch, S/n ",Fuenlabrada,-,28942,914985345,914985345,eei.elbonsai.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.2912635,-3.8197702,Calle De Ernest Lluch  
57,Madrid-Capital,28063076,EEI,EL BOSQUE,"Calle De Delicias, 32 ",Madrid,Arganzuela,28045,915271590,915271590,eei.elbosque.madrid@educa.madrid.org,-,Público,Primaria,40.2841143,-3.7975605,"Calle De Delicias, 32 "
58,Madrid-Sur,28064299,EEI,EL BOSQUE,"Calle De La Encina, 2 ",Humanes de Madrid,-,28970,914982718,914982718,eei.elbosque.humanes@educa.madrid.org,-,Público,Primaria,40.4557777,-3.4522126,"Calle De La Encina, 2 "
59,Madrid-Capital,28043481,EEI,EL CARMEN,"Calle De Vélez Rubio, 181 ",Madrid,Hortaleza,28033,913029923,913029923,eei.elcarmen.madrid@educa.madrid.org,-,Público,Primaria,40.47955035,-3.660741955966551,"Calle De Vélez Rubio, 181 "
60,Madrid-Este,28048142,EEI,EL CASCANUECES,"Calle De Paz Camacho, 72 ",Velilla de San Antonio,-,28891,916552125,916552125,eei.elcascanueces.velilla@educa.madrid.org,-,Público,Primaria,40.3729739,-3.4872177,"Calle De Paz Camacho, 72 "
61,Madrid-Capital,28071887,EEI,EL CASERIO,"Calle De María Teresa Robledo, 3 ",Madrid,Puente de Vallecas,28018,913808654,91 380 86 54,eei.elcaserio.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle De María Teresa Robledo, 3 "
62,Madrid-Sur,28068062,EEI,EL COCHERITO LERÉ,"Calle De Fuentevaqueros, 12 ",Fuenlabrada,-,28944,916098643,916098643,eei.elcocheritolere.fuenlabrada@educa.madrid.org,ana.garcia.luque@madrid.org,Público,Primaria,40.2760259,-3.7953054,"Calle De Fuentevaqueros, 12 "
63,Madrid-Este,28070111,EEI,EL COLUMPIO,"Calle Molino, 5 ",Loeches,-,28890,671095785,-,eei.elcolumpio.loeches@educa.madrid.org,elcolumpio@kidsco.es,Público,Primaria,40.3850548,-3.4137214,"Calle Molino, 5 "
64,Madrid-Sur,28072387,EEI,EL COLUMPIO,"Paseo De Arroyomolinos, 64 ",Móstoles,-,28938,916472056,-,eei.elcolumpio.mostoles@educa.madrid.org,-,Público,Primaria,40.3189343,-3.8677699,"Paseo De Arroyomolinos, 64 "
65,Madrid-Sur,28067872,EEI,EL CORRO DE LA PATATA,"Calle Del Cabo San Vicente, S/n ",Alcorcón,-,28924,916199643,916199643,eei.elcorrodelapatata.alcorcon@educa.madrid.org,-,Público,Primaria,40.3529839,-3.8163514,Calle Del Cabo San Vicente  
66,Madrid-Sur,28047538,EEI,EL CUCO,"Calle Maestro, 10 ",Leganés,-,28914,916801409,916801409,eei.elcuco.leganes@educa.madrid.org,-,Público,Primaria,40.3268109,-3.8789307,"Calle Maestro, 10 "
67,Madrid-Norte,28046972,EEI,EL CUQUILLO,"Paseo De La Chopera, 118 ",Alcobendas,-,28100,916624097,916622155,eei.elcuquillo.alcobendas@educa.madrid.org,-,Público,Primaria,40.3964065,-3.7015635,"Paseo De La Chopera, 118 "
68,Madrid-Capital,28057696,EEI,EL DUENDE,"Plaza Del Dos De Mayo, 2 ",Madrid,Centro,28004,915235187,915227256,eei.elduende.madrid@educa.madrid.org,-,Público,Primaria,40.4269317,-3.704089606401504,"Plaza Del Dos De Mayo, 2 "
69,Madrid-Capital,28043533,EEI,EL ENCINAR,"Calle Del Estrecho De Mesina, 1 ",Madrid,Ciudad Lineal,28043,913889917,913884725,eei.elencinar.madrid@educa.madrid.org,-,Público,Primaria,40.4528048,-3.6506067,"Calle Del Estrecho De Mesina, 1 "
70,Madrid-Sur,28047447,EEI,EL ESCONDITE,"Calle De Las Panaderas, 12 ",Fuenlabrada,-,28944,916979265,916970227,eei.elescondite.fuenlabrada@educa.madrid.org,gema.castano@madrid.org,Público,Primaria,40.2792417,-3.7984495,"Calle De Las Panaderas, 12 "
71,Madrid-Capital,28048622,EEI,EL ESPINILLO,"Pasaje De La Avenencia, 2 ",Madrid,Villaverde,28041,913176104,913176104,eei.elespinillo.madrid@educa.madrid.org,-,Público,Primaria,40.3596734,-3.687206873643666,"Pasaje De La Avenencia, 2 "
72,Madrid-Norte,28064317,EEI,EL FARO,"Avenida De Talavera De La Reina, S/n ",San Sebastián de los Reyes,-,28701,916593447,-,eei.elfaro.sansebastian@educa.madrid.org,e.i.elfaro@hotmail.com,Público,Primaria,40.55634,-3.6409348,Avenida De Talavera De La Reina  
73,Madrid-Capital,28079023,EEI,EL FRESNO,"Calle María Casares, 15 ",Madrid,Fuencarral-El Pardo,28035,-,-,eei.elfresno.madrid@educa.madrid.org,-,Público,Primaria,40.50288615,-3.3634719050084745,"Calle María Casares, 15 "
74,Madrid-Este,28073392,EEI,EL GATO CON BOTAS,"Calle Antonio Solís, S/n ",Torrejón de Ardoz,-,28850,911167918,911167918,eei.elgatoconbotas.torrejondeardoz@educa.madrid.org,-,Público,Primaria,40.4420252,-3.4583352,Calle Antonio Solís  
75,Madrid-Sur,28047009,EEI,EL JUGLAR,"Calle De Alonso Cano, 8 ",Móstoles,-,28933,916173761,916173761,eei.eljuglar.mostoles@educa.madrid.org,-,Público,Primaria,40.3331841,-3.8711454,"Calle De Alonso Cano, 8 "
76,Madrid-Sur,28043776,EEI,EL LAGO,"Calle De Zaragoza, 6 ",Fuenlabrada,-,28941,916060622,916067296,eei.ellago.fuenlabrada@educa.madrid.org,-,Público,Primaria,40.4154108,-3.7060693,"Calle De Zaragoza, 6 "
77,Madrid-Sur,28068335,EEI,EL LIMONERO,"Calle Estrella Polar, S/n ",Parla,-,28983,914241538,-,eei.ellimonero.parla@educa.madrid.org,-,Público,Primaria,40.2303583,-3.7541024,Calle Estrella Polar  
78,Madrid-Capital,28047599,EEI,EL LIRON,"Calle Del Pico De Los Artilleros, 123 ",Madrid,Moratalaz,28030,913712712,-,eei.elliron.madrid@educa.madrid.org,eei.elliron@gmail.com,Público,Primaria,40.4011544,-3.6419703,"Calle Del Pico De Los Artilleros, 123 "
79,Madrid-Capital,28043569,EEI,EL MADROÑAL,"Calle De José Paulete, 34 ",Madrid,Puente de Vallecas,28038,917787607,917787607,eei.elmadronal.madrid@educa.madrid.org,-,Público,Primaria,40.3921952,-3.6502042,"Calle De José Paulete, 34 "
80,Madrid-Capital,28078951,EEI,EL MAMUT,"Calle De Los Ganados Del Salobral, 7 ",Madrid,Villaverde,28021,-,-,eei.elmamut.madrid@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle De Los Ganados Del Salobral, 7 "
81,Madrid-Capital,28067677,EEI,EL MANANTIAL,"Calle De Múñico, S/n ",Madrid,Latina,28047,914640597,914640597,eei.numeroseis-latina.madrid@educa.madrid.org,-,Público,Primaria,40.4022644,-3.7411244,Calle De Múñico  
82,Madrid-Sur,28068347,EEI,EL MANZANO,"Calle Planeta Tierra, S/n ",Parla,-,28983,914242240,914240796,eei.elmanzano.parla@educa.madrid.org,-,Público,Primaria,40.2228192,-3.7612122,Calle Planeta Tierra  
83,Madrid-Sur,28048580,EEI,EL MOLINO,"Avenida De Europa, 25 ",Fuenlabrada,-,28943,916082112,916082112,eei.elmolino.fuenlabrada@educa.madrid.org,antonia.pedregal@madrid.org,Público,Primaria,40.285810549999994,-3.8088053984567902,"Avenida De Europa, 25 "
84,Madrid-Sur,28068323,EEI,EL NARANJO,"Calle Lago Blanco, S/n ",Parla,-,28981,916989624,916999945,eei.elnaranjo.parla@educa.madrid.org,einaranjo@clece.es,Público,Primaria,40.2465305,-3.7700592,Calle Lago Blanco  
85,Madrid-Sur,28047022,EEI,EL NARANJO,"Paseo Riazor, S/n ",Fuenlabrada,-,28942,916085189,-,eei.elnaranjo.fuenlabrada@educa.madrid.org,almudena.bote@madrid.org,Público,Primaria,40.2996786,-3.8117683,Paseo Riazor  
86,Madrid-Oeste,28064275,EEI,EL NOGAL,"Calle De Santiago Ramón Y Cajal, S/n ",Alpedrete,-,28430,918579057,-,eei.elnogal.alpedrete@educa.madrid.org,eei.alpedrete@hotmail.com,Público,Primaria,40.6565003,-4.0217778,Calle De Santiago Ramón Y Cajal  
87,Madrid-Capital,28073264,EEI,EL OLIVAR,"Calle Del Olivar, 48-50 ",Madrid,Centro,28012,915306631,915306631,eei.elolivar.madrid@educa.madrid.org,-,Público,Primaria,40.410506,-3.7016462,"Calle Del Olivar, 48-50 "
88,Madrid-Sur,28065334,EEI,EL OLIVAR,"Calle Las Afiladeras, 18 ",San Martín de Valdeiglesias,-,28680,918612203,-,eei.elolivar.sanmartindevaldeiglesias@educa.madrid.org,america.campoy@madrid.org,Público,Primaria,40.3587539,-4.3997221,"Calle Las Afiladeras, 18 "
89,Madrid-Norte,28044240,EEI,EL OLIVO,"Avenida De La Vega, S/n ",Tres Cantos,-,28760,918031878,918031878,eei.elolivo.trescantos@educa.madrid.org,-,Público,Primaria,40.6046909,-3.7126794,Avenida De La Vega  
90,Madrid-Sur,28043910,EEI,EL PEQUEÑO SAUCE,"Calle Del Pintor Murillo, S/n ",Móstoles,-,28933,916147788,916147788,eei.elpequenosauce.mostoles@educa.madrid.org,-,Público,Primaria,40.3280436,-3.8677481,Calle Del Pintor Murillo  
91,Madrid-Capital,28043600,EEI,EL PILAR,"Calle De Siena, 38 ",Madrid,Ciudad Lineal,28027,914036749,914036749,eei.elpilar.madrid@educa.madrid.org,-,Público,Primaria,40.4331681,-3.6522997,"Calle De Siena, 38 "
92,Madrid-Norte,28048014,EEI,EL POCITO,"Calle Cultura, S/n ",Pedrezuela,-,28723,918446300,918446786,eei.elpocito.pedrezuela@educa.madrid.org,-,Público,Primaria,40.4801767,-3.6663121,Calle Cultura  
93,Madrid-Sur,28043821,EEI,EL PRADO,"Calle Murillo, S/n ",Getafe,-,28904,912027975,-,eei.elprado.getafe@educa.madrid.org,-,Público,Primaria,40.3024126,-3.7363351,Calle Murillo  
94,Madrid-Norte,28068773,EEI,EL PRINCIPITO,"Calle Virtudes, 32-34 ",Algete,-,28110,916291761,916291761,eei.elprincipito.algete@educa.madrid.org,-,Público,Primaria,40.5488894,-3.6325373,"Calle Virtudes, 32-34 "
95,Madrid-Sur,28060634,EEI,EL REGAJAL,"Calle La Imago, S/n ",Aranjuez,-,28300,918090252,918090253,eei.numerodos.aranjuez@educa.madrid.org,-,Público,Primaria,N/A,N/A,Calle La Imago  
96,Madrid-Sur,28068074,EEI,EL ROBLE,"Glorieta De Lituania, S/n ",Valdemoro,-,28341,918083102,-,eei.elroble.valdemoro@educa.madrid.org,pilar.rodriguez.jimenez@madrid.org,Público,Primaria,N/A,N/A,Glorieta De Lituania  
97,Madrid-Capital,28043806,EEI,EL ROCIO,"Carretera De Carabanchel A Villaverde, 107 ",Madrid,Villaverde,28041,917231460,917231460,eei.elrocio.madrid@educa.madrid.org,eei.elrocio.madrid@educa.madrid.org,Público,Primaria,40.3509021,-3.7066221,"Carretera De Carabanchel A Villaverde, 107 "
98,Madrid-Sur,28048609,EEI,EL ROMANCERO,"Calle Dinamarca, 11 ",Leganés,-,28916,916884688,916884688,eei.elromancero.leganes@educa.madrid.org,-,Público,Primaria,40.3400421,-3.7410143,"Calle Dinamarca, 11 "
99,Madrid-Norte,28044264,EEI,EL ROMERAL,"Calle Sector Islas, 24 ",Tres Cantos,-,28760,918030248,918030248,eei.elromeral.trescantos@educa.madrid.org,-,Público,Primaria,N/A,N/A,"Calle Sector Islas, 24 "
100,Madrid-Sur,28073288,EEI,EL SACAPUNTAS,"Calle De Las Ciencias, 27 ",Fuenlabrada,-,28943,914986125,914986125,eei.elsacapuntas.fuenlabrada@educa.madrid.org,escuelasacapuntas@gmail.com,Público,Primaria,40.5809455,-3.9348163,"Calle De Las Ciencias, 27 "
101,Madrid-Este,28068384,EEI,EL SASTRECILLO VALIENTE,"Calle Mayor, 71 ",Torres de la Alameda,-,28813,918868961,-,eei.elsastrecillovaliente.torres@educa.madrid.org,-,Público,Primaria,40.4817396,-3.3674464366151846,"Calle Mayor, 71 "
102,Madrid-Capital,28068049,EEI,EL SEÑOR DON GATO,"Calle De Los Poetas, S/n ",Madrid,Vicálvaro,28032,670939547,917080207,eei.elsenordongato.madrid@educa.madrid.org,elsenordongato@kidsco.es,Público,Primaria,40.3962334,-3.6228757,Calle De Los Poetas  
